Position,G,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,yearID,teamID,OPS
3B,192,569,61,150,28,5,9,72,47,2,106,3,2,9,0,6,16,8,2,0.264,0.318,0.378,2010,MIN,0.696
SS,184,568,63,152,30,4,7,56,47,2,96,0,9,5,0,7,11,4,3,0.268,0.321,0.371,2010,MIN,0.692
LF,174,629,83,182,49,1,24,122,35,6,95,6,0,9,0,10,18,5,5,0.289,0.328,0.485,2010,MIN,0.813
CF,168,677,93,177,27,10,5,61,62,0,79,7,10,2,0,9,13,26,4,0.261,0.329,0.353,2010,MIN,0.6819999999999999
RF,191,619,85,158,29,5,19,88,63,5,127,5,1,4,0,7,23,5,2,0.255,0.327,0.41,2010,MIN,0.737
DH,185,543,81,144,25,2,31,106,94,8,129,2,0,9,0,6,16,1,2,0.265,0.37,0.49,2010,MIN,0.86
C,195,529,52,98,25,1,4,43,42,4,100,5,6,3,0,6,15,0,0,0.185,0.25,0.259,2011,MIN,0.509
1B,177,618,73,187,37,0,18,91,54,3,106,3,2,5,0,9,18,2,2,0.303,0.359,0.45,2011,MIN,0.8089999999999999
2B,180,609,66,139,30,3,9,50,39,0,114,4,6,3,0,9,7,11,3,0.228,0.278,0.332,2011,MIN,0.6100000000000001
3B,166,604,66,149,30,2,14,70,44,2,114,3,0,3,0,8,15,3,8,0.247,0.3,0.373,2011,MIN,0.673
SS,172,584,69,139,28,4,4,48,40,1,104,6,10,4,0,12,7,12,8,0.238,0.292,0.32,2011,MIN,0.612
LF,178,598,56,146,29,3,5,51,39,3,122,4,4,2,0,4,14,11,4,0.244,0.294,0.328,2011,MIN,0.622
CF,163,675,87,182,17,9,3,43,51,1,75,2,3,0,0,14,9,37,9,0.27,0.323,0.335,2011,MIN,0.658
RF,187,606,66,162,31,3,20,74,53,3,138,6,0,3,0,3,16,10,5,0.267,0.331,0.427,2011,MIN,0.758
DH,181,561,64,138,26,0,26,96,69,7,134,4,0,2,0,5,14,2,0,0.246,0.332,0.431,2011,MIN,0.763
C,177,605,75,184,38,0,12,78,64,7,103,6,1,2,0,7,25,4,4,0.304,0.375,0.426,2012,MIN,0.8009999999999999
1B,173,606,72,156,31,2,20,75,70,11,126,7,0,8,0,10,25,4,0,0.257,0.337,0.414,2012,MIN,0.751
2B,181,575,64,141,29,2,1,48,40,0,90,5,8,9,0,9,8,26,2,0.245,0.296,0.308,2012,MIN,0.604
3B,184,596,77,151,26,3,23,84,48,0,123,6,2,7,0,6,15,2,5,0.253,0.312,0.423,2012,MIN,0.735
SS,170,597,67,135,19,3,7,56,41,0,109,2,8,3,0,10,17,14,5,0.226,0.277,0.303,2012,MIN,0.5800000000000001
LF,187,615,91,159,35,1,36,108,62,2,161,14,1,5,0,6,13,10,4,0.259,0.338,0.494,2012,MIN,0.8320000000000001
CF,171,686,91,183,38,6,4,48,59,0,82,2,5,4,0,12,12,31,8,0.267,0.325,0.357,2012,MIN,0.6819999999999999
RF,181,644,76,181,19,5,10,66,45,0,120,2,7,4,0,12,14,33,8,0.281,0.328,0.373,2012,MIN,0.7010000000000001
DH,170,565,75,144,33,6,18,95,70,7,127,7,0,12,0,4,17,3,0,0.255,0.338,0.43,2012,MIN,0.768
C,172,620,81,187,41,1,22,76,82,8,140,1,1,3,0,4,15,1,2,0.302,0.382,0.477,2013,MIN,0.859
1B,171,633,67,162,36,0,19,88,56,3,146,4,0,5,0,5,16,0,0,0.256,0.318,0.403,2013,MIN,0.7210000000000001
2B,175,648,84,159,34,5,18,69,57,0,139,8,4,4,1,8,14,16,7,0.245,0.312,0.397,2013,MIN,0.7090000000000001
3B,183,622,56,158,28,1,14,59,47,0,131,6,3,3,0,9,13,3,1,0.254,0.311,0.37,2013,MIN,0.681
SS,194,534,59,119,24,1,11,53,42,2,146,2,7,3,0,4,8,16,8,0.223,0.281,0.333,2013,MIN,0.6140000000000001
LF,186,609,62,139,31,1,20,74,65,2,188,15,1,3,0,9,13,2,0,0.228,0.316,0.381,2013,MIN,0.6970000000000001
CF,172,601,74,138,28,4,12,47,52,0,169,5,5,2,0,13,6,12,9,0.23,0.295,0.349,2013,MIN,0.6439999999999999
RF,189,599,56,142,27,2,20,61,64,1,162,3,3,2,1,4,9,2,4,0.237,0.313,0.389,2013,MIN,0.702
DH,164,589,61,127,33,0,14,54,59,2,163,8,0,5,0,6,8,0,0,0.216,0.293,0.343,2013,MIN,0.636
C,169,591,60,159,40,0,6,69,48,0,82,9,1,9,0,5,11,1,2,0.269,0.329,0.367,2014,MIN,0.696
1B,182,649,66,163,40,1,8,78,61,11,140,2,0,3,0,5,18,3,1,0.251,0.316,0.353,2014,MIN,0.669
2B,169,630,119,159,33,2,24,76,92,1,133,9,3,9,0,7,8,21,7,0.252,0.351,0.425,2014,MIN,0.776
3B,172,634,84,160,49,4,15,92,53,2,128,4,2,5,0,12,12,5,4,0.252,0.312,0.413,2014,MIN,0.725
SS,190,588,75,149,43,5,6,40,35,1,139,4,7,1,0,10,10,14,2,0.253,0.299,0.374,2014,MIN,0.673
LF,194,572,62,136,21,3,9,61,74,4,164,8,5,5,0,8,8,15,4,0.238,0.331,0.332,2014,MIN,0.663
CF,180,594,78,165,30,6,9,56,68,1,143,2,7,4,0,7,4,28,12,0.278,0.352,0.394,2014,MIN,0.746
RF,186,617,73,148,27,3,27,87,53,4,201,7,0,2,0,6,7,4,4,0.24,0.306,0.425,2014,MIN,0.731
DH,169,583,75,153,28,2,24,101,52,5,158,8,0,5,0,7,14,3,0,0.262,0.329,0.441,2014,MIN,0.77
C,183,548,50,123,23,1,7,60,41,4,104,9,7,4,0,7,14,0,0,0.224,0.287,0.308,2015,MIN,0.595
1B,176,622,71,165,33,2,14,66,64,11,123,2,1,4,0,14,24,2,0,0.265,0.334,0.392,2015,MIN,0.726
2B,171,649,105,154,41,4,29,79,63,2,149,7,0,8,0,5,11,13,4,0.237,0.308,0.447,2015,MIN,0.755
3B,172,613,80,151,35,4,24,94,53,0,139,4,2,4,0,11,27,4,2,0.246,0.309,0.434,2015,MIN,0.743
SS,168,574,74,153,42,7,9,60,35,1,124,4,10,3,0,10,10,14,6,0.267,0.312,0.411,2015,MIN,0.723
LF,199,600,79,159,26,16,16,70,29,5,142,4,6,5,0,4,9,11,6,0.265,0.301,0.442,2015,MIN,0.743
CF,182,584,76,142,22,5,12,51,42,3,137,3,4,2,0,13,8,17,10,0.243,0.296,0.36,2015,MIN,0.6559999999999999
RF,195,633,74,151,27,3,23,93,37,3,142,5,0,7,0,8,17,6,6,0.239,0.283,0.4,2015,MIN,0.683
DH,167,553,73,139,27,2,21,82,71,1,178,2,0,4,0,6,10,0,4,0.251,0.337,0.421,2015,MIN,0.758
C,177,579,53,144,38,2,11,73,34,0,100,6,6,4,0,6,20,0,0,0.249,0.295,0.378,2016,MIN,0.673
1B,172,625,88,145,27,3,26,71,89,8,152,0,0,3,0,4,13,2,0,0.232,0.326,0.41,2016,MIN,0.736
2B,171,653,108,172,38,5,41,102,63,6,144,11,2,5,0,7,10,18,2,0.263,0.336,0.525,2016,MIN,0.861
3B,174,650,75,177,30,3,22,90,45,0,147,3,5,5,0,7,12,15,4,0.272,0.32,0.429,2016,MIN,0.749
SS,172,661,66,170,30,6,15,71,33,1,134,3,2,5,0,3,12,19,7,0.257,0.293,0.389,2016,MIN,0.6819999999999999
LF,180,603,87,155,28,2,19,57,64,1,174,3,4,1,0,2,6,4,5,0.257,0.331,0.405,2016,MIN,0.736
CF,178,584,82,145,36,7,15,64,39,1,184,3,4,6,0,9,4,22,9,0.248,0.296,0.411,2016,MIN,0.707
RF,180,609,76,146,28,3,28,92,69,4,181,6,1,7,0,9,5,9,3,0.24,0.32,0.433,2016,MIN,0.753
DH,167,568,75,143,31,4,19,60,66,3,178,7,1,7,0,7,14,2,0,0.252,0.333,0.421,2016,MIN,0.754
C,181,543,74,125,31,2,14,61,75,1,165,7,3,1,0,3,13,1,0,0.23,0.331,0.372,2017,MIN,0.7030000000000001
1B,188,632,81,183,44,1,16,94,71,2,130,5,0,4,0,11,22,2,1,0.29,0.364,0.438,2017,MIN,0.802
2B,179,658,114,175,32,4,34,99,82,6,152,10,1,3,0,5,12,17,7,0.266,0.355,0.482,2017,MIN,0.837
3B,172,640,104,171,21,7,38,115,55,3,191,4,0,4,0,5,13,5,1,0.267,0.327,0.5,2017,MIN,0.827
SS,175,601,82,163,38,3,17,93,54,3,91,2,8,10,0,8,7,18,6,0.271,0.328,0.429,2017,MIN,0.757
LF,198,608,95,172,37,4,22,76,48,1,117,3,4,7,0,4,12,10,9,0.283,0.335,0.465,2017,MIN,0.8
CF,184,591,85,151,19,6,20,68,51,2,173,4,5,2,0,5,4,31,3,0.255,0.318,0.409,2017,MIN,0.727
RF,195,606,82,147,32,2,25,85,68,2,132,6,2,5,0,7,9,6,1,0.243,0.323,0.426,2017,MIN,0.749
DH,169,567,79,134,28,2,16,72,74,3,157,4,1,3,0,3,12,2,0,0.236,0.327,0.377,2017,MIN,0.704
C,180,546,62,131,29,1,13,72,50,2,131,5,3,6,0,8,20,0,0,0.24,0.306,0.368,2018,MIN,0.6739999999999999
1B,186,624,86,153,36,0,17,80,72,4,135,5,1,4,0,4,9,1,0,0.245,0.326,0.385,2018,MIN,0.7110000000000001
2B,171,627,87,149,28,2,16,69,73,1,147,5,1,3,0,9,11,11,3,0.238,0.321,0.365,2018,MIN,0.6859999999999999
3B,177,620,74,154,49,3,24,102,60,5,176,3,0,4,0,3,11,1,3,0.248,0.316,0.453,2018,MIN,0.769
SS,171,608,74,167,40,5,15,79,47,3,142,3,6,4,0,3,8,13,8,0.275,0.328,0.431,2018,MIN,0.759
LF,186,658,100,190,37,2,29,90,43,5,123,0,1,4,0,4,5,8,2,0.289,0.33,0.483,2018,MIN,0.813
CF,193,588,82,146,36,5,17,72,31,2,171,7,3,5,0,7,7,8,3,0.248,0.292,0.413,2018,MIN,0.705
RF,199,566,85,131,34,1,18,70,89,1,112,4,0,5,0,8,7,4,4,0.231,0.337,0.39,2018,MIN,0.7270000000000001
DH,164,574,72,138,25,3,15,56,62,1,141,3,2,3,0,3,8,0,3,0.24,0.316,0.373,2018,MIN,0.6890000000000001
C,181,593,117,155,29,1,44,102,71,0,167,10,1,6,0,6,7,0,0,0.261,0.347,0.536,2019,MIN,0.883
1B,186,634,77,159,32,2,27,99,42,3,150,13,0,4,1,9,14,0,0,0.251,0.309,0.435,2019,MIN,0.744
2B,174,614,97,177,36,2,26,78,39,2,128,14,0,2,0,2,14,2,2,0.288,0.344,0.48,2019,MIN,0.824
3B,186,612,106,148,26,1,40,95,73,1,185,6,0,5,1,12,10,1,1,0.242,0.326,0.484,2019,MIN,0.81
SS,181,668,110,201,40,7,21,84,64,1,117,4,4,7,0,9,11,5,5,0.301,0.362,0.476,2019,MIN,0.838
LF,188,683,101,192,35,1,32,105,32,0,106,3,0,6,0,4,13,3,2,0.281,0.314,0.476,2019,MIN,0.79
CF,206,609,102,153,50,6,31,100,52,1,150,6,2,3,0,9,7,15,5,0.251,0.315,0.506,2019,MIN,0.821
RF,206,630,101,159,32,1,32,88,65,2,131,15,0,2,0,4,8,0,5,0.252,0.336,0.459,2019,MIN,0.795
DH,165,610,111,186,36,1,52,145,69,10,174,9,0,6,1,9,17,1,1,0.305,0.38,0.623,2019,MIN,1.0030000000000001
C,192,557,64,120,25,1,31,76,55,0,199,10,2,1,0,4,12,1,2,0.215,0.297,0.431,2021,MIN,0.728
1B,178,604,81,134,28,0,38,97,58,2,195,4,0,2,0,10,20,3,2,0.222,0.293,0.457,2021,MIN,0.75
2B,190,642,100,168,33,4,26,88,42,1,117,5,0,6,0,10,9,11,6,0.262,0.309,0.447,2021,MIN,0.756
3B,187,606,94,177,36,1,26,93,80,2,99,2,0,12,0,4,26,2,1,0.292,0.37,0.483,2021,MIN,0.853
SS,187,554,57,129,20,0,10,52,47,0,92,5,3,2,0,4,16,6,1,0.233,0.298,0.323,2021,MIN,0.621
LF,220,588,63,135,21,2,16,65,48,0,181,17,0,4,0,5,8,5,0,0.23,0.304,0.354,2021,MIN,0.6579999999999999
CF,194,591,91,144,40,3,28,62,48,0,167,10,1,2,0,6,11,14,3,0.244,0.31,0.464,2021,MIN,0.774
RF,194,606,83,139,31,3,23,71,67,5,154,5,0,4,0,4,2,8,0,0.229,0.309,0.404,2021,MIN,0.7130000000000001
DH,161,565,84,143,30,3,30,82,68,6,153,10,0,8,3,5,15,3,0,0.253,0.339,0.476,2021,MIN,0.815
C,188,547,62,108,27,1,19,67,57,0,174,3,4,5,0,3,14,2,0,0.197,0.275,0.355,2022,MIN,0.63
1B,189,626,73,168,31,0,13,73,56,1,117,10,0,4,0,4,18,5,2,0.268,0.336,0.38,2022,MIN,0.716
2B,187,604,84,155,33,0,20,89,75,1,130,6,1,10,0,6,8,3,5,0.257,0.34,0.411,2022,MIN,0.751
3B,179,607,74,172,31,3,21,92,47,2,117,5,0,7,0,4,25,1,1,0.283,0.336,0.448,2022,MIN,0.784
SS,182,635,75,173,28,2,25,71,61,2,150,1,1,5,0,6,20,0,1,0.272,0.335,0.441,2022,MIN,0.776
LF,229,571,68,135,30,4,20,64,37,1,162,7,2,5,1,14,10,6,4,0.236,0.289,0.408,2022,MIN,0.697
CF,206,579,76,142,24,4,25,68,48,0,174,6,2,3,0,11,9,8,0,0.245,0.308,0.43,2022,MIN,0.738
RF,195,592,69,123,23,1,16,60,63,2,141,7,0,4,0,7,16,5,2,0.208,0.29,0.331,2022,MIN,0.621
DH,179,608,93,158,37,2,19,74,61,1,154,13,0,3,0,4,11,4,0,0.26,0.339,0.421,2022,MIN,0.76
C,176,569,73,142,27,2,17,68,53,1,158,9,4,2,0,1,15,4,2,0.25,0.322,0.394,2023,MIN,0.716
1B,231,590,67,156,32,3,22,88,66,2,172,13,0,3,0,5,5,2,0,0.264,0.35,0.441,2023,MIN,0.7909999999999999
2B,229,609,93,166,37,1,27,71,74,0,172,6,2,3,0,2,13,7,0,0.273,0.355,0.47,2023,MIN,0.825
3B,205,608,90,160,17,5,20,86,57,1,160,15,0,2,0,4,18,14,4,0.263,0.34,0.406,2023,MIN,0.746
SS,186,637,82,153,34,4,23,83,68,3,161,8,0,3,0,7,32,2,1,0.24,0.32,0.414,2023,MIN,0.734
LF,246,561,83,124,29,3,20,74,80,2,194,9,0,2,0,4,9,16,3,0.221,0.327,0.39,2023,MIN,0.7170000000000001
CF,222,546,62,120,20,2,25,69,37,0,182,8,5,2,0,3,9,18,4,0.22,0.278,0.401,2023,MIN,0.679
RF,209,609,92,150,27,2,38,96,60,1,176,8,0,5,0,7,10,2,2,0.246,0.32,0.484,2023,MIN,0.804
DH,183,595,99,128,33,1,34,84,82,2,215,13,1,7,0,3,8,11,0,0.215,0.32,0.445,2023,MIN,0.765
C,174,577,69,131,24,0,24,73,37,0,113,12,6,8,0,9,15,6,1,0.227,0.284,0.393,2024,MIN,0.677
1B,174,592,73,145,33,1,25,80,65,3,115,6,0,3,0,3,18,4,0,0.245,0.324,0.431,2024,MIN,0.755
2B,228,569,74,122,26,1,14,58,58,1,172,13,0,1,0,4,7,10,8,0.214,0.301,0.337,2024,MIN,0.638
3B,205,595,73,151,32,2,19,80,52,2,121,8,0,6,0,7,12,3,2,0.254,0.319,0.41,2024,MIN,0.729
SS,181,619,90,175,40,3,21,99,61,5,134,7,1,7,1,10,14,7,3,0.283,0.35,0.459,2024,MIN,0.8089999999999999
LF,241,560,92,138,33,6,16,66,63,0,139,11,0,4,0,4,13,15,2,0.246,0.332,0.413,2024,MIN,0.745
CF,194,592,86,156,44,6,21,75,34,1,145,18,3,3,0,6,9,13,6,0.264,0.321,0.465,2024,MIN,0.786
RF,200,617,69,161,34,1,17,68,42,1,148,16,0,5,1,7,8,3,0,0.261,0.322,0.402,2024,MIN,0.724
DH,209,604,83,142,35,3,24,83,44,0,180,6,0,6,0,4,17,1,0,0.235,0.291,0.422,2024,MIN,0.713
C,182,545,66,144,32,4,13,80,78,3,104,11,8,6,0,5,12,4,2,0.264,0.364,0.409,2010,NYA,0.7729999999999999
1B,180,623,112,155,37,0,32,111,100,5,121,12,0,5,0,6,18,0,1,0.249,0.361,0.462,2010,NYA,0.823
2B,169,635,104,204,42,3,29,109,57,14,78,8,0,5,0,7,18,3,2,0.321,0.382,0.534,2010,NYA,0.916
3B,206,619,80,157,27,3,27,125,62,1,114,3,2,12,0,6,12,10,4,0.254,0.319,0.438,2010,NYA,0.757
SS,185,689,115,185,28,3,10,72,65,4,111,9,1,4,0,10,23,19,5,0.269,0.338,0.361,2010,NYA,0.6990000000000001
LF,212,554,91,154,22,7,7,57,76,0,130,11,6,4,0,10,7,39,7,0.278,0.374,0.381,2010,NYA,0.755
CF,185,594,100,148,21,8,27,77,75,4,136,2,5,3,0,6,6,19,4,0.249,0.334,0.448,2010,NYA,0.782
RF,210,624,92,172,33,3,29,97,69,0,155,10,2,3,0,7,13,1,2,0.276,0.356,0.478,2010,NYA,0.834
DH,183,573,79,149,31,1,25,83,64,4,145,6,2,2,0,3,13,2,1,0.26,0.34,0.449,2010,NYA,0.789
C,181,568,73,137,23,0,22,89,62,2,117,7,2,4,0,8,23,12,3,0.241,0.321,0.398,2011,NYA,0.7190000000000001
1B,178,625,93,154,29,1,37,109,81,3,120,10,0,9,0,5,16,4,1,0.246,0.338,0.474,2011,NYA,0.812
2B,183,641,107,195,48,7,28,116,40,11,98,12,1,8,0,6,20,13,1,0.304,0.352,0.532,2011,NYA,0.884
3B,198,609,92,163,28,2,19,97,57,1,120,6,3,6,0,3,18,8,2,0.268,0.333,0.414,2011,NYA,0.747
SS,176,665,95,189,31,4,8,73,49,1,98,6,8,4,0,15,11,24,9,0.284,0.337,0.379,2011,NYA,0.716
LF,207,589,94,154,22,8,12,53,67,0,119,8,8,3,0,6,8,44,13,0.261,0.343,0.387,2011,NYA,0.73
CF,176,618,142,161,28,10,41,122,90,1,176,13,4,7,0,3,12,31,10,0.261,0.363,0.537,2011,NYA,0.9
RF,208,572,86,147,34,0,25,90,104,6,136,6,2,8,0,3,18,5,2,0.257,0.372,0.448,2011,NYA,0.8200000000000001
DH,183,556,71,140,21,1,30,82,64,4,128,6,1,2,0,13,18,2,3,0.252,0.334,0.455,2011,NYA,0.789
C,185,542,64,119,25,0,22,64,61,0,106,9,5,2,0,9,14,7,1,0.22,0.308,0.387,2012,NYA,0.6950000000000001
1B,187,588,89,154,33,1,29,107,85,1,117,7,0,13,0,6,15,3,1,0.262,0.355,0.469,2012,NYA,0.824
2B,169,634,103,197,50,1,31,92,57,8,105,6,3,2,0,7,20,6,3,0.311,0.372,0.539,2012,NYA,0.911
3B,195,583,93,162,26,2,26,72,62,3,132,9,4,7,0,11,19,13,2,0.278,0.352,0.463,2012,NYA,0.815
SS,170,678,92,200,30,0,15,57,39,1,93,6,7,1,0,8,22,13,6,0.295,0.338,0.406,2012,NYA,0.744
LF,253,564,75,136,26,3,22,70,52,4,115,7,3,2,0,7,11,14,2,0.241,0.312,0.415,2012,NYA,0.727
CF,172,620,105,150,21,5,45,118,75,4,193,5,2,7,0,4,8,10,3,0.242,0.325,0.51,2012,NYA,0.835
RF,200,596,71,154,34,1,22,85,61,2,130,6,4,7,0,7,11,8,6,0.258,0.33,0.43,2012,NYA,0.76
DH,174,564,88,161,30,0,27,91,62,5,130,5,0,7,0,2,14,9,0,0.285,0.357,0.482,2012,NYA,0.839
C,199,497,57,106,18,0,8,43,47,0,101,8,9,5,0,3,16,5,0,0.213,0.289,0.298,2013,NYA,0.587
1B,184,584,58,134,30,1,22,83,51,2,150,3,0,5,1,7,19,2,1,0.229,0.292,0.397,2013,NYA,0.6890000000000001
2B,173,622,78,198,43,1,27,114,64,16,90,5,1,5,0,10,18,7,1,0.318,0.384,0.521,2013,NYA,0.905
3B,188,592,70,137,28,0,12,52,40,1,149,12,4,0,0,7,15,9,3,0.231,0.293,0.34,2013,NYA,0.633
SS,181,580,63,132,24,5,5,46,44,3,133,7,6,8,0,8,13,20,3,0.228,0.286,0.312,2013,NYA,0.598
LF,176,624,79,147,21,0,27,85,50,2,135,2,0,4,0,10,9,16,8,0.236,0.293,0.399,2013,NYA,0.692
CF,177,648,98,182,40,13,13,65,62,1,154,8,9,3,0,5,8,28,11,0.281,0.35,0.443,2013,NYA,0.7929999999999999
RF,197,614,67,154,21,3,13,52,39,3,88,2,5,3,0,10,11,18,4,0.251,0.296,0.358,2013,NYA,0.6539999999999999
DH,174,561,59,105,18,1,14,58,59,3,165,8,1,3,0,3,12,8,0,0.187,0.273,0.298,2013,NYA,0.571
C,183,591,65,148,27,2,22,81,38,1,114,10,0,4,0,5,16,1,0,0.25,0.305,0.415,2014,NYA,0.72
1B,181,595,66,128,20,2,25,78,72,3,155,7,0,4,0,5,16,0,1,0.215,0.305,0.382,2014,NYA,0.687
2B,186,577,69,142,34,5,13,53,47,1,99,2,1,4,0,8,15,7,4,0.246,0.303,0.39,2014,NYA,0.6930000000000001
3B,194,552,69,143,28,0,15,61,58,1,109,7,2,4,0,3,11,6,3,0.259,0.335,0.391,2014,NYA,0.726
SS,181,630,48,147,20,1,5,55,43,0,104,7,9,6,0,10,16,8,4,0.233,0.287,0.292,2014,NYA,0.579
LF,179,623,90,155,30,6,16,62,54,0,150,7,12,6,0,5,4,19,5,0.249,0.313,0.393,2014,NYA,0.706
CF,174,652,86,181,31,7,23,84,57,5,110,3,1,8,1,6,9,43,5,0.278,0.335,0.452,2014,NYA,0.787
RF,205,593,62,150,28,2,8,43,33,3,129,3,2,3,0,9,7,17,2,0.253,0.294,0.347,2014,NYA,0.641
DH,163,571,62,131,26,1,18,63,43,1,130,8,0,7,0,3,13,6,1,0.229,0.289,0.373,2014,NYA,0.6619999999999999
C,191,593,87,146,24,2,28,106,62,3,127,10,1,9,0,4,11,0,0,0.246,0.323,0.435,2015,NYA,0.758
1B,196,601,85,149,32,0,43,116,77,6,152,7,0,8,0,3,8,2,0,0.248,0.336,0.516,2015,NYA,0.8520000000000001
2B,213,548,63,122,28,4,21,64,44,3,108,1,7,5,1,9,13,3,2,0.223,0.279,0.403,2015,NYA,0.682
3B,182,630,77,154,31,1,11,62,55,1,152,7,0,4,0,5,18,0,2,0.244,0.31,0.349,2015,NYA,0.659
SS,176,568,60,149,27,3,10,60,36,0,92,12,3,6,0,8,5,5,2,0.262,0.317,0.373,2015,NYA,0.69
LF,195,626,98,159,24,2,21,76,66,1,126,7,11,5,0,11,8,18,4,0.254,0.33,0.399,2015,NYA,0.7290000000000001
CF,181,677,102,177,33,4,13,57,57,2,148,8,2,3,4,16,11,24,10,0.261,0.325,0.38,2015,NYA,0.7050000000000001
RF,238,621,80,176,46,2,27,89,62,2,118,3,0,7,0,3,11,1,2,0.283,0.348,0.494,2015,NYA,0.842
DH,169,570,86,137,23,1,34,89,85,4,164,7,0,7,0,7,20,4,0,0.24,0.342,0.463,2015,NYA,0.805
C,178,587,79,147,28,0,32,97,64,5,140,8,1,6,0,3,21,2,0,0.25,0.329,0.462,2016,NYA,0.791
1B,201,579,70,123,25,0,24,67,66,1,162,2,0,4,1,8,14,5,1,0.212,0.293,0.38,2016,NYA,0.673
2B,179,626,69,168,32,1,21,70,25,2,124,3,1,6,0,7,16,4,1,0.268,0.297,0.423,2016,NYA,0.72
3B,178,554,66,140,23,4,14,56,56,3,130,7,0,5,0,6,11,8,2,0.253,0.326,0.384,2016,NYA,0.71
SS,171,603,75,167,33,2,20,73,26,2,87,6,6,5,1,7,9,8,1,0.277,0.311,0.438,2016,NYA,0.749
LF,181,622,86,161,24,6,8,50,73,0,120,8,4,6,0,6,6,17,4,0.259,0.341,0.355,2016,NYA,0.696
CF,179,632,82,164,30,5,11,63,62,1,102,2,5,5,12,19,14,21,8,0.259,0.325,0.375,2016,NYA,0.7
RF,222,583,66,142,21,1,22,74,52,4,144,3,1,4,0,7,17,0,4,0.244,0.307,0.396,2016,NYA,0.7030000000000001
DH,174,577,68,150,27,0,28,87,44,1,144,3,0,8,0,1,10,4,0,0.26,0.312,0.452,2016,NYA,0.764
C,181,621,80,157,24,1,29,99,47,1,153,9,2,7,0,13,13,1,1,0.253,0.311,0.435,2017,NYA,0.746
1B,201,579,76,141,31,2,27,84,62,0,177,5,0,10,0,13,15,4,0,0.244,0.317,0.444,2017,NYA,0.761
2B,182,636,85,186,30,1,18,82,33,1,128,5,4,6,0,12,17,5,1,0.292,0.329,0.428,2017,NYA,0.757
3B,181,567,83,143,26,2,16,75,76,3,147,13,2,5,0,10,12,6,2,0.252,0.351,0.39,2017,NYA,0.741
SS,187,633,82,179,32,1,26,100,27,1,81,3,0,8,1,16,8,3,1,0.283,0.311,0.46,2017,NYA,0.771
LF,187,667,108,171,33,6,24,79,78,1,149,5,3,4,0,12,7,26,4,0.256,0.337,0.432,2017,NYA,0.769
CF,176,624,104,175,38,5,18,82,72,4,117,9,3,5,5,11,13,28,6,0.28,0.361,0.444,2017,NYA,0.8049999999999999
RF,179,583,134,159,24,4,51,115,131,10,222,5,0,4,0,6,15,8,4,0.273,0.408,0.59,2017,NYA,0.998
DH,171,569,84,132,27,0,28,91,73,1,179,8,1,6,0,7,17,4,2,0.232,0.325,0.427,2017,NYA,0.752
C,179,586,82,124,29,0,30,95,62,0,161,6,1,4,0,6,21,2,0,0.212,0.292,0.415,2018,NYA,0.707
1B,177,602,77,141,28,1,34,109,61,2,191,7,0,7,0,5,8,1,0,0.234,0.309,0.453,2018,NYA,0.762
2B,192,590,68,146,29,3,25,90,45,3,152,8,1,6,0,5,13,3,1,0.247,0.307,0.434,2018,NYA,0.741
3B,186,625,85,178,47,2,26,94,32,2,112,3,0,4,0,11,13,2,1,0.285,0.321,0.491,2018,NYA,0.812
SS,180,619,103,169,26,5,33,103,61,4,98,7,1,9,0,9,8,14,7,0.273,0.341,0.491,2018,NYA,0.8320000000000001
LF,177,622,102,153,23,6,19,56,82,0,150,7,1,6,0,7,11,16,5,0.246,0.338,0.394,2018,NYA,0.732
CF,170,607,118,150,22,6,30,93,104,1,140,3,5,7,0,8,2,13,2,0.247,0.356,0.451,2018,NYA,0.8069999999999999
RF,181,612,103,147,28,0,38,93,93,3,201,7,1,10,0,4,15,6,2,0.24,0.342,0.472,2018,NYA,0.8140000000000001
DH,160,572,96,154,35,0,31,84,76,5,186,12,0,5,0,4,15,5,3,0.269,0.364,0.493,2018,NYA,0.857
C,178,614,87,151,27,1,38,107,43,3,181,8,1,3,0,5,9,1,2,0.246,0.302,0.479,2019,NYA,0.7809999999999999
1B,182,619,104,167,31,0,27,80,82,2,152,7,0,1,0,4,14,0,0,0.27,0.361,0.451,2019,NYA,0.812
2B,187,627,106,180,29,2,22,92,53,0,131,6,3,4,0,5,8,9,2,0.287,0.346,0.445,2019,NYA,0.7909999999999999
3B,184,629,102,196,43,1,32,108,45,1,113,5,0,7,0,7,19,3,2,0.312,0.359,0.536,2019,NYA,0.895
SS,174,641,105,165,32,2,43,120,47,4,130,3,1,6,0,9,14,7,2,0.257,0.308,0.515,2019,NYA,0.823
LF,194,553,104,158,33,4,29,96,75,0,140,1,0,2,0,5,14,18,5,0.286,0.371,0.517,2019,NYA,0.888
CF,175,621,109,161,38,4,34,103,70,0,161,4,0,7,0,7,8,9,2,0.259,0.335,0.498,2019,NYA,0.833
RF,190,608,111,158,29,2,37,89,86,5,217,5,0,1,1,7,11,6,3,0.26,0.356,0.497,2019,NYA,0.853
DH,160,597,101,145,26,1,40,98,64,3,179,10,0,2,0,6,14,0,2,0.243,0.325,0.491,2019,NYA,0.8160000000000001
C,181,562,71,112,22,1,32,80,65,3,173,6,0,1,0,3,16,0,0,0.199,0.289,0.413,2021,NYA,0.702
